Title,URL
eToro expanding in Australia with $55 million acquisition of investment app Spaceship,https://www.calcalistech.com/ctechnews/article/hjgnlc8ac
$3.9 trillion as of March 2024,https://www.superannuation.asn.au/resources/super-stats/
Adyen to Include Klarna BNPL Offering on In-Store Terminals,https://www.pymnts.com/bnpl/2024/klarna-turns-to-adyen-to-expand-in-store-bnpl-offering/
"Bunq moves into stock trading, targeting digital nomads",https://tech.eu/2024/09/24/bunq-moves-into-stock-trading-targeting-digital-nomads/
Revolut Invest,https://finovate.com/revolut-to-launch-standalone-wealth-management-app/
,https://newsroom.aboutrobinhood.com/introducing-robinhood-in-the-uk/
set up shop in the UK,https://newsroom.aboutrobinhood.com/introducing-robinhood-in-the-uk/
PNC and Plaid ink data sharing agreement,https://www.finextra.com/pressarticle/102409/pnc-and-plaid-ink-data-sharing-agreement
MercadoLibre's fintech arm applies for banking license in Mexico,https://finance.yahoo.com/news/mercadolibres-fintech-arm-applies-banking-170119304.html
Nik Milanovic's Tweet,https://x.com/NikMilanovic/status/1839074610291032072
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F2368cff4-c0b4-4e7c-b61c-d78a001e8adb_1500x500.png"
Digital debt collector worth $350m after big money raise,https://www.afr.com/technology/digital-debt-collector-worth-350m-after-big-money-raise-20240919-p5kbya
Health insurance startup Alan reaches $4.5B valuation with new $193M funding round,https://techcrunch.com/2024/09/20/health-insurance-startup-alan-reaches-45-billion-valuation-with-new-funding-round/
back into the segment,"https://www.insurancebusinessmag.com/au/news/reinsurance/gallagher-re-publishes-insurtech-report-for-q2-2024-500130.aspx#:~:text=Insurtech%20funding%20experienced%20a%20notable,largest%20amount%20since%20Q1%202023."
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F98bd3f66-92b9-4d3e-8d67-a0d55e5f019d_1500x500.png"
Financial Plumbing with Patrick McKenzie and Erik Torenberg,https://www.youtube.com/watch?v=WLYB1LQh20s&feature=youtu.be
Patio11,https://x.com/patio11
Seeing Like a Bank,https://www.bitsaboutmoney.com/archive/seeing-like-a-bank/
"How Branch Confidently Lends to People Banks Won’t Touch — Matt Flannery (Founder, CEO of Branch)",https://www.youtube.com/watch?v=azy4lUscsak&feature=youtu.be
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fbf71ebbf-6c40-4936-a127-0255d5f58800_1022x78.png"
@alantsen on Twitter,https://twitter.com/alantsen
Share Fintech Radar,https://fintechradar.substack.com/?utm_source=substack&utm_medium=email&utm_content=share&action=share
I Love It!,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
I Like It,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
Not Bad,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
I Don’t Like It,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
It’s Awful,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
2,https://fintechradar.substack.com/p/issue-130-etoro-acquires-spaceship/comments
Share,javascript:void(0)
,https://substack.com/profile/46629961-justin-xiao
Justin Xiao,https://substack.com/profile/46629961-justin-xiao
Justin’s Fintech Musings Substa…,https://justinxiao.substack.com?utm_source=substack&utm_medium=web&utm_content=comment_metadata
Oct 2,https://fintechradar.substack.com/p/issue-130-etoro-acquires-spaceship/comment/71100256
1 reply by Alan Tsen,https://fintechradar.substack.com/p/issue-130-etoro-acquires-spaceship/comment/71100256
1 more comment...,https://fintechradar.substack.com/p/issue-130-etoro-acquires-spaceship/comments
Privacy,https://substack.com/privacy
Terms,https://substack.com/tos
Collection notice,https://substack.com/ccpa#personal-data-collected
Start Writing,https://substack.com/signup?utm_source=substack&utm_medium=web&utm_content=footer
Get the app,https://substack.com/app/app-store-redirect?utm_campaign=app-marketing&utm_content=web-footer-button
Substack,https://substack.com
turn on JavaScript,https://enable-javascript.com/
,/
Fintech Radar,/
3,https://fintechradar.substack.com/p/issue-129-walmart-to-go-real-time/comments
Share,javascript:void(0)
here is a breakdown,https://fintechradar.substack.com/p/coming-soon
here,https://fintechradar.substack.com/
“A Deep Dive Into The Cash App's Growth Machine”,https://fintechradar.substack.com/p/breakdown-2-a-deep-dive-into-the
“The Future Of Payment Initiation”,https://fintechradar.substack.com/p/break-down-6-the-future-of-payment
“Current: Doing It Differently”,https://fintechradar.substack.com/p/current-doing-it-differently
Goodface FinTech Design & Development Agency,https://goodface.agency/service/fintech-design-and-development/
sponsorship page,https://sponsor.fintechradar.co/
Sponsored Content,https://sponsor.fintechradar.co/
,https://goodface.agency/fintech-ebook/?utm_source=fintech_radar&utm_medium=email&utm_campaign=2
30 Tactics FinTech Unicorns Use to Convert Better,https://goodface.agency/fintech-ebook/?utm_source=fintech_radar&utm_medium=email&utm_campaign=2
take a look now,https://goodface.agency/fintech-ebook/?utm_source=fintech_radar&utm_medium=email&utm_campaign=2
Download The 57-page PDF Now,https://goodface.agency/fintech-ebook/?utm_source=fintech_radar&utm_medium=email&utm_campaign=1
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fc46d1dcb-27fc-427d-a916-b5c5524913a9_1500x500.png"
"Walmart, Fiserv team to offer real-time payments",https://www.paymentsdive.com/news/walmart-fiserv-real-time-bank-payments-online-credit-card-alternative/727640/
Brex Launches Embedded Payments Solutions for B2B Software Vendors,https://www.pymnts.com/news/b2b-payments/2024/brex-launches-embedded-payments-solutions-for-b2b-software-vendors/
Monzo brings monthly payments to Apple Pay purchases,https://www.finextra.com/newsarticle/44738/monzo-brings-monthly-payments-to-apple-pay-purchases
JPMorgan could take over Goldman’s Apple Card business,https://techcrunch.com/2024/09/17/jpmorgan-could-take-over-goldmans-apple-card-business/
Fintech Giant Revolut Said to Be Planning Stablecoin,https://www.coindesk.com/business/2024/09/18/fintech-giant-revolut-said-to-be-planning-stablecoin/
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F2368cff4-c0b4-4e7c-b61c-d78a001e8adb_1500x500.png"
Credit card fintech Yonder raises £23.4m as it eyes EU expansion,https://sifted.eu/articles/yonder-raise-exclusive-news
"Orb founders grew so frustrated dealing with billing as engineers at Asana, they built their own billing software",https://techcrunch.com/2024/09/17/orb-builds-billing-infrastructure-so-businesses-dont-have-to/
Stripe mentioned,https://stripe.com/au/newsroom/news/stripe-named-a-leader-by-gartner
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F98bd3f66-92b9-4d3e-8d67-a0d55e5f019d_1500x500.png"
Stablecoins The Emerging Market Story,https://castleisland.vc/writing/stablecoins-the-emerging-market-story
"Will Gaybrick on Capital Allocation, Org Design, AI, and Global Growth",https://www.youtube.com/watch?v=tEVL0yxdppY
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fbf71ebbf-6c40-4936-a127-0255d5f58800_1022x78.png"
@alantsen on Twitter,https://twitter.com/alantsen
Share Fintech Radar,https://fintechradar.substack.com/?utm_source=substack&utm_medium=email&utm_content=share&action=share
I Love It!,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
I Like It,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
Not Bad,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
I Don’t Like It,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
It’s Awful,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
3,https://fintechradar.substack.com/p/issue-129-walmart-to-go-real-time/comments
Share,javascript:void(0)
,https://substack.com/profile/172879528-salvador-lorca
Salvador Lorca 💜🔥,https://substack.com/profile/172879528-salvador-lorca
Ciencias Sociales,https://cienciasocial.substack.com?utm_source=substack&utm_medium=web&utm_content=comment_metadata
Sep 25,https://fintechradar.substack.com/p/issue-129-walmart-to-go-real-time/comment/70269466
,https://substack.com/profile/548792-matt-jones
Matt Jones,https://substack.com/profile/548792-matt-jones
Payments Culture,https://www.paymentsculture.com?utm_source=substack&utm_medium=web&utm_content=comment_metadata
Sep 25,https://fintechradar.substack.com/p/issue-129-walmart-to-go-real-time/comment/70264535
1 reply by Alan Tsen,https://fintechradar.substack.com/p/issue-129-walmart-to-go-real-time/comment/70264535
1 more comment...,https://fintechradar.substack.com/p/issue-129-walmart-to-go-real-time/comments
Privacy,https://substack.com/privacy
Terms,https://substack.com/tos
Collection notice,https://substack.com/ccpa#personal-data-collected
Start Writing,https://substack.com/signup?utm_source=substack&utm_medium=web&utm_content=footer
Get the app,https://substack.com/app/app-store-redirect?utm_campaign=app-marketing&utm_content=web-footer-button
Substack,https://substack.com
turn on JavaScript,https://enable-javascript.com/
,/
Fintech Radar,/
1,https://fintechradar.substack.com/p/issue-128-klarna-drops-major-saas/comments
Share,javascript:void(0)
here is a breakdown,https://fintechradar.substack.com/p/coming-soon
here,https://fintechradar.substack.com/
“A Deep Dive Into The Cash App's Growth Machine”,https://fintechradar.substack.com/p/breakdown-2-a-deep-dive-into-the
“The Future Of Payment Initiation”,https://fintechradar.substack.com/p/break-down-6-the-future-of-payment
“Current: Doing It Differently”,https://fintechradar.substack.com/p/current-doing-it-differently
Goodface FinTech Design & Development Agency,https://goodface.agency/service/fintech-design-and-development/
sponsorship page,https://sponsor.fintechradar.co/
Sponsored Content,https://sponsor.fintechradar.co/
,https://goodface.agency/fintech-ebook/?utm_source=fintech_radar&utm_medium=email&utm_campaign=1
“30 Conversion Hacks From Top FinTech Websites”,https://goodface.agency/fintech-ebook/?utm_source=fintech_radar&utm_medium=email&utm_campaign=1
Goodface FinTech Design & Development Agency,https://goodface.agency/service/fintech-design-and-development/
Download The 57-page PDF Now,https://goodface.agency/fintech-ebook/?utm_source=fintech_radar&utm_medium=email&utm_campaign=1
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fc46d1dcb-27fc-427d-a916-b5c5524913a9_1500x500.png"
"“How is he doing this?” – Marc Benioff questions Klarna CEO's move to scrap Workday, Salesforce in SaaS ‘consolidation’ drive",https://www.itpro.com/technology/artificial-intelligence/how-is-he-doing-this-marc-benioff-questions-klarna-ceo-s-scrapping-of-workday-salesforce-in-saas-consolidation-drive
minor stir on Twitter last week,https://x.com/thogge/status/1833627582551757143
TrueLayer: Expanding Open Banking in the UK,https://fintechmagazine.com/articles/truelayer-stripe-in-uk-open-banking-partnership
"Amazon provides checkout tech at universities, stadiums",https://www.paymentsdive.com/news/amazon-just-walk-out-campus-c-stores/726273/
there are rumors,https://www.theguardian.com/commentisfree/2024/apr/10/amazon-ai-cashier-less-shops-humans-technology
Amazon has denied,https://www.theverge.com/2024/4/17/24133029/amazon-just-walk-out-cashierless-ai-india
